discordUser,member_days_since_join,events_attended_year,distinct_event_days_year,attendance_streak_weeks,n_gbm_year,gbm_ratio,n_social_year,social_ratio,n_hello_world_year,hello_world_ratio,n_sponsorship_year,sponsorship_ratio,n_tech_exploration_year,tech_exploration_ratio,n_class_support_year,class_support_ratio,n_workshop_year,workshop_ratio,n_ops_year,ops_ratio,n_collabs_year,collabs_ratio,feedback_count_year,avg_event_rating_given,left_any_feedback,has_gone_to_hackathon,discord_member,discord_days_since_join,has_role_ops,discord_msgs_year,discord_active_days_year,discord_channels_posted_year,discord_num_roles,class,major,school,gender,race_or_ethnicity,y_paid_dues
paddlewaddle,84,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,1177,0,0,0,0,12,Senior,Computer Science,University of Central Florida,Woman,Asian,1
rhygon_,74,6,6,3,0,,1,0.16666666666666666,0,,0,,0,,0,,0,,5,0.8333333333333334,0,,0,,0,1,1,142,1,1594,45,9,18,Freshman,Computer Science,University of Central Florida,Man,Asian,1
funjack17,64,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,443,0,0,0,0,7,Sophomore,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
million,308,8,13,9,2,0.25,0,,0,,0,,0,,1,0.125,0,,5,0.625,0,,0,,0,1,1,449,1,3328,161,13,15,Sophomore,Computer Science,University of Central Florida,Man,White,1
airforcemot,308,4,8,3,1,0.25,0,,0,,0,,1,0.25,2,0.5,0,,0,,0,,0,,0,1,1,414,0,2,1,1,5,Junior,Computer Science,University of Central Florida,Man,Asian,1
adam.2700,74,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,126,0,9,5,3,9,Freshman,Computer Science,University of Central Florida,Man,White,1
aly9663,60,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,543,0,13,3,3,11,Junior,Computer Science,University of Central Florida,Woman,Asian,1
jamisonharnstrom_94375,64,1,1,1,0,,0,,0,,0,,0,,0,,0,,1,1,0,,0,,0,1,1,82,0,95,14,9,2,Sophomore,Computer Science,University of Central Florida,Man,Prefer not to answer,1
jerhe,307,1,0,0,0,,0,,0,,1,1,0,,0,,0,,0,,0,,0,,0,1,1,1292,0,310,55,7,9,Senior,Computer Science,University of Central Florida,Man,Asian,1
a1vcm,74,5,9,4,1,0.2,0,,1,0.2,0,,0,,0,,0,,1,0.2,2,0.4,1,10,1,1,1,333,1,7,6,3,18,Junior,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
stormfighter132,76,1,3,1,1,1,0,,0,,0,,0,,0,,0,,0,,0,,2,8.5,1,1,1,449,0,0,0,0,15,Sophomore,Computer Science,University of Central Florida,Man,Other,1
acroe.,74,2,5,3,0,,0,,0,,0,,0,,0,,0,,1,0.5,1,0.5,0,,0,1,1,126,0,1,1,1,5,Sophomore,Computer Science,University of Central Florida,Prefer not to answer,Prefer not to answer,1
haydenfowler12,64,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,63,0,1,1,1,1,Junior,Computer Science,University of Central Florida,Man,White,1
ddsalmon,309,3,4,1,0,,0,,0,,0,,0,,3,1,0,,0,,0,,0,,0,1,1,425,0,6,5,2,11,Senior,Computer Science,University of Central Florida,Man,Asian,1
bigbubba31,307,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,794,0,0,0,0,5,Junior,Computer Science,University of Central Florida,Man,Asian,1
riko0325,308,7,11,4,1,0.14285714285714285,1,0.14285714285714285,2,0.2857142857142857,1,0.14285714285714285,0,,1,0.14285714285714285,0,,0,,1,0.14285714285714285,0,,0,1,1,253,1,115,15,10,17,Sophomore,Computer Science,University of Central Florida,Woman,Hispanic / Latino / Spanish Origin,1
eethie,306,3,4,4,1,0.3333333333333333,0,,0,,1,0.3333333333333333,0,,0,,0,,1,0.3333333333333333,0,,0,,0,1,1,82,1,14,9,6,13,Junior,Computer Science,University of Central Florida,Man,Asian,1
dracostarr,298,5,9,5,3,0.6,0,,0,,0,,0,,0,,0,,2,0.4,0,,0,,0,1,1,441,1,13,6,2,16,Sophomore,Computer Science,University of Central Florida,Man,Black or African American,1
q1y4n,308,3,5,3,1,0.3333333333333333,0,,2,0.6666666666666666,0,,0,,0,,0,,0,,0,,0,,0,1,1,293,0,1,1,1,3,Sophomore,Computer Science,University of Central Florida,Woman,Asian,1
prooz_max,84,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,437,0,23,4,2,5,Junior,Computer Science,University of Central Florida,Man,Prefer not to answer,1
kevintto,29,1,1,1,0,,0,,0,,1,1,0,,0,,0,,0,,0,,0,,0,1,1,53,0,88,14,7,13,Senior,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
myshiba,307,1,1,1,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,438,0,2,1,1,9,Junior,Computer Science,University of Central Florida,Man,Asian,1
inboarduck,81,1,1,1,0,,0,,1,1,0,,0,,0,,0,,0,,0,,0,,0,0,1,82,1,1,1,1,9,Junior,Aerospace Engineering,University of Central Florida,Woman,Middle Eastern,1
caiusjay,298,3,3,1,1,0.3333333333333333,0,,1,0.3333333333333333,0,,0,,0,,0,,1,0.3333333333333333,0,,0,,0,0,1,411,1,3,3,2,8,Senior,Computer Science,University of Central Florida,Man,Prefer not to answer,1
gokatih,76,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,124,0,11,5,3,1,Graduate,Computer Science,University of Central Florida,Man,White,1
heroicsandwich_,308,21,28,8,4,0.19047619047619047,0,,2,0.09523809523809523,1,0.047619047619047616,1,0.047619047619047616,4,0.19047619047619047,1,0.047619047619047616,8,0.38095238095238093,0,,7,10,1,1,1,438,1,24,11,6,16,Junior,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
DNWMN,308,1,1,1,1,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,1188,1,139,23,2,16,Senior,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
burgerman_150,308,2,2,1,0,,0,,1,0.5,0,,0,,1,0.5,0,,0,,0,,0,,0,0,1,308,0,1,1,1,6,Sophomore,Computer Science,University of Central Florida,Man,Black or African American,1
vitto5959,307,7,10,4,1,0.14285714285714285,1,0.14285714285714285,0,,1,0.14285714285714285,0,,0,,0,,4,0.5714285714285714,0,,0,,0,1,1,315,0,24,11,3,9,Sophomore,Computer Science,University of Central Florida,Man,Black or African American,1
_jack8658,298,9,14,3,1,0.1111111111111111,0,,2,0.2222222222222222,2,0.2222222222222222,0,,1,0.1111111111111111,1,0.1111111111111111,2,0.2222222222222222,0,,6,6.33333333333333,1,1,1,310,1,132,53,9,22,Sophomore,Computer Science,University of Central Florida,Man,White,1
kwaii,84,3,5,2,2,0.6666666666666666,0,,0,,0,,0,,0,,0,,1,0.3333333333333333,0,,0,,0,1,1,84,1,125,12,3,15,Junior,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
arete0,76,1,5,2,0,,0,,1,1,0,,0,,0,,0,,0,,0,,1,10,1,0,1,85,0,1,1,1,4,Freshman,Computer Science,University of Central Florida,Man,Asian,1
_dreb,306,2,3,1,1,0.5,0,,0,,0,,0,,1,0.5,0,,0,,0,,0,,0,0,1,422,0,0,0,0,8,Junior,Computer Science,University of Central Florida,Man,Asian,1
tofu311,308,3,2,1,2,0.6666666666666666,0,,0,,0,,0,,0,,0,,1,0.3333333333333333,0,,0,,0,0,1,1177,0,158,39,10,15,Senior,Computer Science,University of Central Florida,Man,Asian,1
ivie1598n,57,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,1,661,0,931,120,9,11,Senior,Computer Science,University of Central Florida,Prefer not to answer,Prefer not to answer,1
enders__,308,1,3,1,0,,0,,0,,0,,0,,0,,0,,1,1,0,,0,,0,1,1,449,0,0,0,0,4,Sophomore,Computer Science,University of Central Florida,Man,Hispanic / Latino / Spanish Origin,1
secretsoph,309,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,583,0,0,0,0,4,Senior,Computer Science,University of Central Florida,Woman,Hispanic / Latino / Spanish Origin,1
