member_days_since_join,events_attended_year,distinct_event_days_year,attendance_streak_weeks,n_workshops_year,n_socials_year,workshop_ratio,social_ratio,feedback_count_year,avg_event_rating_given,left_any_feedback,has_gone_to_hackathon,discord_member,discord_days_since_join,has_role_ops,discord_msgs_year,discord_active_days_year,discord_channels_posted_year,discord_num_roles,y_paid_dues,n_other_events,other_ratio,school_grouped,major_grouped,level_grouped,tenure_years,is_discord_active
84,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,0,1,1177.0,0,0,0,0,12,1,0,0.0,UCF,Tech,Undergraduate,0.23013698630136986,0
74,6,6,3,0,1,0.0,0.16666666666666666,0,9.084256095825644,0,1,1,142.0,1,1594,45,9,18,1,5,0.8333333333333334,UCF,Tech,Undergraduate,0.20273972602739726,1
64,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,1,1,443.0,0,0,0,0,7,1,0,0.0,UCF,Tech,Undergraduate,0.17534246575342466,0
308,14,13,9,1,0,0.07142857142857142,0.0,0,9.084256095825644,0,1,1,449.0,1,3328,161,13,15,1,13,0.9285714285714286,UCF,Tech,Undergraduate,0.8438356164383561,1
308,8,8,3,3,0,0.375,0.0,0,9.084256095825644,0,1,1,414.0,0,2,1,1,5,1,5,0.625,UCF,Tech,Undergraduate,0.8438356164383561,1
74,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,1,1,126.0,0,9,5,3,9,1,0,0.0,UCF,Tech,Undergraduate,0.20273972602739726,1
60,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,1,1,543.0,0,13,3,3,11,1,0,0.0,UCF,Tech,Undergraduate,0.1643835616438356,1
64,1,1,1,0,0,0.0,0.0,0,9.084256095825644,0,1,1,82.0,0,95,14,9,2,1,1,1.0,UCF,Tech,Undergraduate,0.17534246575342466,1
307,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,1,1,1292.0,0,310,55,7,9,1,0,0.0,UCF,Tech,Undergraduate,0.8410958904109589,1
74,9,9,4,3,0,0.3333333333333333,0.0,1,10.0,1,1,1,333.0,1,7,6,3,18,1,6,0.6666666666666666,UCF,Tech,Undergraduate,0.20273972602739726,1
76,3,3,1,0,0,0.0,0.0,2,8.5,1,1,1,449.0,0,0,0,0,15,1,3,1.0,UCF,Tech,Undergraduate,0.20821917808219179,0
74,5,5,3,1,0,0.2,0.0,0,9.084256095825644,0,1,1,126.0,0,1,1,1,5,1,4,0.8,UCF,Tech,Undergraduate,0.20273972602739726,1
64,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,0,1,63.0,0,1,1,1,1,1,0,0.0,UCF,Tech,Undergraduate,0.17534246575342466,1
309,4,4,1,3,0,0.75,0.0,0,9.084256095825644,0,1,1,425.0,0,6,5,2,11,1,1,0.25,UCF,Tech,Undergraduate,0.8465753424657534,1
307,0,0,0,0,0,0.0,0.0,0,9.084256095825644,0,1,1,794.0,0,0,0,0,5,1,0,0.0,UCF,Tech,Undergraduate,0.8410958904109589,0
308,11,11,4,5,1,0.45454545454545453,0.09090909090909091,0,9.084256095825644,0,1,1,253.0,1,115,15,10,17,1,5,0.45454545454545453,UCF,Tech,Undergraduate,0.8438356164383561,1
306,4,4,4,1,0,0.25,0.0,0,9.084256095825644,0,1,1,82.0,1,14,9,6,13,1,3,0.75,UCF,Tech,Undergraduate,0.8383561643835616,1
